section,pdf_page,codebook_page,question_id,variable,length,label,question_text,notes,value_count
IDENTIFICATION,41,3,,QUESTID2,7,RESPONDENT IDENTIFICATION,"The following variable, QUESTID2, is a unique record identifier within a particular study year. The IDs may be repeated in other study years, so analysts should always consider the study year when using the QUESTID2.","The following variable, FILEDATE, represents the date the SAS data file was created.",0
IDENTIFICATION,41,3,,FILEDATE,10,CREATION DATE OF THE DATA FILE,,,0
TOBACCO,42,4,"CG01, CGREF1",CIGEVER,1,EVER SMOKED A CIGARETTE,"SELF-ADMINISTERED SUBSTANCE USE SECTIONS These questions are about your use of tobacco products. This includes cigarettes, chewing tobacco, snuff, cigars, and pipe tobacco. The first questions are about cigarettes only. Have you ever smoked part or all of a cigarette?",,2
TOBACCO,42,4,CG02,CIGOFRSM,2,"IF BEST FRIEND OFFERED, WOULD YOU SMOKE CIG","If one of your best friends offered you a cigarette, would you smoke it?",,7
TOBACCO,42,4,CG03,CIGWILYR,2,DO YOU THINK YOU'LL SMOKE CIG IN NEXT 12 MOS,At any time during the next 12 months do you think you will smoke a cigarette?,,7
TOBACCO,42,4,CG04,CIGTRY,3,AGE WHEN FIRST SMOKED A CIGARETTE,How old were you the first time you smoked part or all of a cigarette?,,5
TOBACCO,42,4,"CG04A, CG04B, CG04C",CIGYFU,4,YEAR OF FIRST CIGARETTE USE - RECODE,Did you first smoke part or all of a cigarette in [CURRENT YEAR - 1] or [CURRENT YEAR]? Did you first smoke part or all of a cigarette in [CURRENT YEAR - 2] or [CURRENT YEAR - 1]? In what month in [CURRENT YEAR] did you first smoke part or all of a cigarette?,,8
TOBACCO,43,5,"CG04C, CG04D",CIGMFU,2,MONTH OF FIRST CIGARETTE USE - RECODE,In what month in [CURRENT YEAR] did you first smoke part or all of a cigarette? In what month in [YEAR FROM CG04a or CG04b] did you first smoke part or all of a cigarette?,"NOTE: This variable incorporates values from the two questions shown below. This variable also incorporates values from two probe questions that were asked when the respondent answered DON'T KNOW or REFUSED to the second question shown below. Now think about the past 30 days, that is, from [DATEFILL] up to and including today. During the past 30 days, have you smoked part or all of a cigarette? How long has it been since you last smoked part or all of a cigarette?",19
TOBACCO,43,5,"CG05, CG06, CG06DK, CG06RE",CIGREC,2,TIME SINCE LAST SMOKED CIGARETTES,,,12
TOBACCO,43,5,CG07,CIG30USE,2,HOW MANY DAYS SMOKED CIG IN PAST 30 DAYS,"During the past 30 days, that is since [DATEFILL], on how many days did you smoke part or all of a cigarette?",,6
TOBACCO,44,6,CG07DKRE,CG30EST,2,BEST EST. # DAYS SMOKED CIG PAST 30 DAYS,What is your best estimate of the number of days you smoked part or all of a cigarette during the past 30 days?,,12
TOBACCO,44,6,"CG08, CG10",CIG30AV,2,AVG # CIGS SMOKED PER DAY/ON DAY SMOKED,"On the [CG07 days / CIGDKRE] you smoked cigarettes during the past 30 days, how many cigarettes did you smoke per day, on average?",NOTE: The tobacco brand that respondents confirmed using most often in the past 30 days was recorded in the final 30-day brand variable for the type of tobacco.,12
TOBACCO,45,7,"CG11, CG11A, CG12S11, CG12S21, CG12S31, RCG11, RCG11A, RRCG11, RRCG11A",CIG30BR2,4,CIG BRAND USED MOST OFTEN PAST MO - RECODE,,"NOTE: The variable CIG30TPE corresponds to the variable CIG30TYP that existed prior to 2005. The name was changed due to the addition of a new level in 2005 for ""Mediums."" For this reason, data from CIG30TPE may not be comparable with data from CIG30TYP in prior years. During the past 30 days, what type of cigarettes did you smoke most often?",85
TOBACCO,46,8,"CGTAR1, CGTAR2",CIG30TPE,2,WHAT TYPE OF CIG SMOKED MOST PAST 30 DAYS,,"NOTE: Prior to 2004, the question corresponding to CIG30MEN asked whether respondents smoked menthol or regular cigarettes most often. In 2004, the question was changed to the yes/no question shown below, but the variable name stayed as CIG30MEN. This change in question content does not affect trend comparisons for 2004 onward. However, data in CIG30MEN for 2004 onward are not likely to be comparable with data in CIG30MEN for 2002 and 2003. Were the cigarettes you smoked during the past 30 days menthol?",9
